-31.72	116.99	90	FMS	6	C
-30.33	150.84	78	FMS	12	C
-32.92	151.29	50	FMS	2	C
-36.46	148.95	16	OC	0.01	E
-35.76	145.63	76	OC	0.01	E
-34.67	148.87	999	FMS	12	E
-38.402	146.245	142	FMS	15.1	D
-34.253	150.748	999	FMS	5.3	E
-36.441	148.005	999	FMS	20.3	E
-36.781	146.094	174	FMS	8.6	C
-37.863	146.422	141	FMS	11.4	C
-28.048	140.764	106	BO	2.18	D
-28.059	140.735	83	BO	1.85	B
-28.053	140.858	114	BO	1.65	D
-28.055	140.886	121	BO	1.62	D
-28.074	140.323	97	DIF	2.69	B
-28.027	140.778	92	BO	1.65	B
-18.711	125.965	64	HF	0.18	B
-23.295	119.774	67	HFM	0.23	B
-36.107	141.539	98	FMS	6	C
-27.269	142.131	89	BO	1.37	A
-27.294	142.121	86	BO	2.2	C
-27.814	141.888	60	BO	2.24	C
-27.595	142.007	123	BO	1.83	E
-27.512	141.99	157	BO	1.78	C
-28.342	141.041	90	BO	2.18	C
-27.367	142.143	89	BO	1.62	A
-27.383	142.18	81	BO	2.28	C
-26.764	142.102	82	BO	2.45	B
-27.434	141.897	100	BO	2.23	C
-27.152	141.821	95	BO	2.71	A
-27.65	141.852	101	BO	2.5	A
-26.851	142.104	80	BO	2.49	B
-27.427	141.649	106	BO	2.3	B
-27.409	141.61	113	BO	2.26	A
-27.395	141.588	108	BO	1.93	B
-27.745	141.844	75	BO	2.26	B
-31.37	138.64	999	FMS	3	E
-37.465	140.791	146	DIF	2.24	D
-37.465	140.791	151	BO	2.33	D
-37.466	140.78	114	BO	2.31	A
-37.455	140.776	126	BO	3.07	D
-37.409	140.872	127	DIF	2.76	D
-37.35	140.753	131	BO	1.68	A
-37.442	140.83	131	DIF	2.95	B
-37.212	140.667	114	BO	0.66	C
-23.867	148.833	15	OC	0.12	D
-24.76	150.045	999	HFM	0.04	E
-21.592	148.173	176	HFM	0.19	B
-21.592	148.173	165	HFM	0.18	D
-21.592	148.173	157	HFM	0.29	B
-22.51	130.17	62	FMS	12	C
-19.297	135.099	999	BO	5.95	E
-31.5	138.35	130	FMA	3	D
-19.81	133.98	17	FMA	6.5	D
-34.66	148.88	154	FMA	12.5	D
-37.466	140.78	119	DIF	2.4	D
-27.543	140.578	116	BO	2.44	D
-28.301	140.546	114	DIF	1.53	D
-28.301	140.546	108	BO	1.46	C
-27.736	140.178	114	BO	1.81	C
-27.728	140.185	108	BO	2.03	D
-28.204	140.688	108	BO	2.01	D
-27.653	139.936	126	BO	2.82	C
-28.157	139.976	113	BO	2.4	D
-28.527	140.043	114	DIF	2.01	D
-28.527	140.043	106	BO	1.94	D
-28.317	140.043	61	DIF	2.42	D
-28.218	139.924	120	DIF	2	D
-28.218	139.924	121	BO	2.06	D
-28.224	140.341	108	DIF	2.94	D
-28.252	139.878	93	DIF	2.12	D
-28.252	139.878	91	BO	2.09	D
-28.301	139.917	108	DIF	1.99	D
-29.393	115.029	88	DIF	2.52	A
-29.458	115.162	76	DIF	3.2	B
-29.505	115.151	80	DIF	3.21	C
-29.435	115.144	87	DIF	3.14	C
-29.316	115.071	80	DIF	2.78	D
-29.393	115.029	94	BO	1.81	B
-29.458	115.162	75	BO	3.18	A
-29.505	115.151	80	BO	3.08	B
-29.435	115.144	78	BO	2.95	C
-29.316	115.071	90	BO	2.82	C
-20.08	147.76	46	FMS	7	C
-26.2	132.07	54	FMS	10	C
-26.01	132	41	FMS	11	C
-34.75	149.19	140	FMS	4	D
-30.08	143.52	65	FMS	2	C
-30.23	117.78	79	FMS	2.1	C
-30.21	117.77	81	FMS	0	C
-38.42	145.87	137	FMS	16	C
-38.4	145.86	136	FMS	6	C
-20.903	135.419	115	FMS	0	C
-20.085	147.764	46	FMS	25.6	C
-30.759	150.413	76	FMS	9	C
-38.244	146.194	148	FMS	9.9	C
-25.22	151.37	37	FMS	15	C
-32.3	138.5	114	FMF	11	B
-26.321	149.263	143	DIF	0.51	D
-32.092	151.967	48	BO	0.46	D
-32.109	151.965	79	BO	0.48	D
-32.092	151.975	57	BO	0.44	D
-30.47	136.797	98	HF	1.31	B
-32.992	115.774	106	BO	1.21	C
-29.185	115.262	53	BO	3.23	C
-29.064	153.232	66	BO	0.61	B
-37.462	140.876	143	BO	2.9	B
-37.462	140.876	137	DIF	2.79	D
-29.21	153.132	34	BO	0.57	B
-37.212	140.668	110	BO	0.74	C
-37.212	140.668	104	DIF	0.91	C
-29.173	153.179	47	BO	0.54	B
-37.202	140.447	999	BO	0	E
-29.216	115.096	44	DIF	2.21	D
-30.636	149.649	43	DIF	0.74	D
-30.636	149.649	52	BO	0.75	D
-31.182	149.893	68	BO	0.95	D
